#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-10T05:59:27 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-10T05:59:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-out.all=2&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=J/ApJ/705/1099/lenses&-source=J/ApJ/705/1099/lenses&-out=SDSS&-out=zlens&-out=zsrc&-out=sigma&-out=e_sigma&-out=MType&-out=f_MType&-out=Bmag&-out=Re(B)&-out=Vmag&-out=f_Vmag&-out=Re(V)&-out=Imag&-out=Re(I)&-out=Hmag&-out=RE&-out=Mass&-out=Fc&-out=e_Fc&-out=Fs&-out=e_Fs&-out=F&-out=logMc&-out=e_logMc&-out=logMs&-out=e_logMs&-out=BMag&-out=e_BMag&-out=VMag&-out=e_VMag&-out=BMag0&-out=e_BMag0&-out=VMag0&-out=e_VMag0&-out=SLACS&-out=Sloan&-out=Simbad&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17051099
#Name: J/ApJ/705/1099
#Title: The Sloan Lens ACS (SLACS) Survey. IX. (Auger+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/apj/705/1099	    IVOID of underlying data collection
#INFO	creator=Auger M.W.	    First author or institution
#INFO	cites=bibcode:2009ApJ...705.1099A	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/705/1099	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17051099	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_705_1099_lenses:
#Name: J/ApJ/705/1099/lenses
#Title: Photometric and spectroscopic properties   and lensing and stellar population properties   of SLACS lenses
#Column	SDSS	(A10)	SLACS SDSS name (JHHMM+DDMM)	[ucd=meta.id;meta.main]
#Column	zlens	(F6.3)	Lens redshift	[ucd=src.redshift]
#Column	zsrc	(F6.3)	Source redshift	[ucd=src.redshift]
#Column	sigma	(I3)	Lensing galaxy velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I2)	rms uncertainty on sigma	[ucd=stat.error]
#Column	MType	(a5)	Morphological type	[ucd=src.morph.type]
#Column	f_MType	(A1)	[c] c: the lens galaxy has at least one close companion galaxy	[ucd=meta.code]
#Column	Bmag	(F5.2)	? HST/ACS B-band magnitude (F435W)	[ucd=phot.mag;em.opt.B]
#Column	Re(B)	(F5.2)	? Effective radius (measured at the intermediate axis) in B-band	[ucd=phys.angSize;em.opt.B]
#Column	Vmag	(F5.2)	? HST V-band magnitude (F555W or F606W)	[ucd=phot.mag;em.opt.V]
#Column	f_Vmag	(A1)	[ab]? a: F606W filter on WFPC2 or b: F555W filter on ACS	[ucd=meta.code]
#Column	Re(V)	(F5.2)	? Effective radius (measured at the intermediate axis) in V-band	[ucd=phys.angSize;em.opt.V]
#Column	Imag	(F5.2)	? HST/ACS I-band magnitude (F814W)	[ucd=phot.mag;em.opt.I]
#Column	Re(I)	(F5.2)	? Effective radius (measured at the intermediate axis) in I-band	[ucd=phys.angSize;em.opt.I]
#Column	Hmag	(F5.2)	? HST/NICMOS H-band magnitude (F160W)	[ucd=phot.mag;em.UV.100-200nm]
#Column	RE	(F5.2)	? Einstein radius	[ucd=phys.size.radius]
#Column	Mass	(F5.2)	? Log of mass within the Einstein radius	[ucd=phys.mass]
#Column	Fc	(F5.2)	? The stellar fraction within the Einstein radius for Chabrier IMF (f^Chab^_*,Ein_)	[ucd=phys.mass;arith.ratio]
#Column	e_Fc	(F5.2)	? Fc uncertainty	[ucd=stat.error]
#Column	Fs	(F5.2)	? The stellar fraction within the Einstein radius for Salpeter IMF (f^Salp_*,Ein_)	[ucd=phys.mass;arith.ratio]
#Column	e_Fs	(F5.2)	? Fs uncertainty	[ucd=stat.error]
#Column	F	(F5.2)	? Ratio of the stellar fraction within the Einstein radius to the stellar fraction within the effective radius (f_*,Ein_/f_*,eff_)	[ucd=stat.fit.omc]
#Column	logMc	(F5.2)	? Stellar mass estimate from Chabrier IMF	[ucd=phys.mass]
#Column	e_logMc	(F5.2)	? Mc uncertainty	[ucd=stat.error]
#Column	logMs	(F5.2)	? Stellar mass estimate from Salpeter IMF	[ucd=phys.mass]
#Column	e_logMs	(F5.2)	? Ms uncertainty	[ucd=stat.error]
#Column	BMag	(F6.2)	? Absolute rest-frame Johnson B-band AB magnitude	[ucd=phys.magAbs;em.opt.B]
#Column	e_BMag	(F5.2)	? BMag uncertainty	[ucd=stat.error;phot.mag;em.opt.B]
#Column	VMag	(F6.2)	? Absolute rest-frame Johnson V-band AB magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	e_VMag	(F5.2)	? VMag uncertainty	[ucd=stat.error;phot.mag;em.opt.V]
#Column	BMag0	(F6.2)	? BMag with composite stellar population (CSP) model at z=0 (1)	[ucd=phot.mag;meta.modelled]
#Column	e_BMag0	(F5.2)	? BMag0 uncertainty	[ucd=stat.error;phot.mag;em.opt.B]
#Column	VMag0	(F6.2)	? VMag with composite stellar population (CSP) model at z=0 (1)	[ucd=phot.mag;meta.modelled]
#Column	e_VMag0	(F5.2)	? VMag0 uncertainty	[ucd=stat.error;phot.mag;em.opt.V]
#Column	SLACS	(a5)	Display the SLACS survey data from Paper V. (Cat. J/ApJ/682/964)	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS data for this object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	RAJ2000	(A11)	Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
SDSS	zlens	zsrc	sigma	e_sigma	MType	f_MType	Bmag	Re(B)	Vmag	f_Vmag	Re(V)	Imag	Re(I)	Hmag	RE	Mass	Fc	e_Fc	Fs	e_Fs	F	logMc	e_logMc	logMs	e_logMs	BMag	e_BMag	VMag	e_VMag	BMag0	e_BMag0	VMag0	e_VMag0	SLACS	Sloan	Simbad	RAJ2000	DEJ2000
J0935-0003	 0.347	 0.467	396	35	E    	 	19.36	 5.59	17.71	a	 4.12	16.69	 2.15	16.15	 4.26	11.60	 0.20	 0.03	 0.35	 0.05	 0.31	11.72	 0.07	11.96	 0.07	-23.34	 0.06	-23.98	 0.06	-22.74	 0.15	-23.46	 0.14	SLACS	Sloan	Simbad	09 35 43.93	-00 03 34.8
J0936+0913	 0.190	 0.588	243	11	E    	 	     	     	17.12	a	 2.50	16.44	 2.11	     	 3.45	11.17	 0.57	 0.16	 1.03	 0.29	 0.63	11.43	 0.12	11.68	 0.12	-22.04	 0.12	-22.76	 0.07	-21.70	 0.11	-22.47	 0.11	SLACS	Sloan	Simbad	09 36 00.77	+09 13 35.8
J0946+1006	 0.222	 0.609	263	21	E    	 	     	     	17.78	a	 2.77	17.04	 2.35	     	 4.95	11.46	 0.26	 0.07	 0.46	 0.13	 0.68	11.34	 0.12	11.59	 0.12	-21.83	 0.11	-22.55	 0.07	-21.44	 0.11	-22.22	 0.11	SLACS	Sloan	Simbad	09 46 56.68	+10 06 52.8
J0955+0101	 0.111	 0.316	192	13	S    	 	19.16	 1.82	17.65	a	 1.98	16.92	 1.47	16.03	 1.83	10.83	 0.36	 0.05	 0.64	 0.09	 0.82	10.77	 0.07	11.02	 0.06	-20.14	 0.06	-20.91	 0.05	-19.95	 0.07	-20.75	 0.07	SLACS	Sloan	Simbad	09 55 19.72	+01 01 44.4
J0956+5100	 0.241	 0.470	334	15	E    	 	19.26	 2.54	17.90	b	 2.32	16.66	 2.19	     	 5.05	11.57	 0.35	 0.07	 0.62	 0.12	 0.72	11.56	 0.09	11.81	 0.08	-22.42	 0.06	-23.14	 0.07	-22.02	 0.11	-22.80	 0.11	SLACS	Sloan	Simbad	09 56 29.78	+51 00 06.6
J0959+4416	 0.237	 0.531	244	19	S0   	 	     	     	17.67	a	 2.04	16.88	 1.98	     	 3.61	11.23	 0.55	 0.15	 0.99	 0.28	 0.64	11.47	 0.12	11.72	 0.12	-22.13	 0.11	-22.86	 0.07	-21.72	 0.11	-22.51	 0.11	SLACS	Sloan	Simbad	09 59 00.96	+44 16 39.4
J0959+0410	 0.126	 0.535	197	13	E    	 	19.14	 1.56	17.94	b	 1.51	16.87	 1.29	16.01	 2.24	10.88	 0.42	 0.07	 0.73	 0.11	 0.78	10.91	 0.07	11.15	 0.06	-20.51	 0.06	-21.28	 0.05	-20.30	 0.08	-21.09	 0.08	SLACS	Sloan	Simbad	09 59 44.07	+04 10 17.0
J1016+3859	 0.168	 0.439	247	13	E    	 	     	     	17.35	a	 1.65	16.67	 1.46	     	 3.13	11.17	 0.48	 0.13	 0.84	 0.23	 0.82	11.23	 0.12	11.48	 0.12	-21.47	 0.13	-22.20	 0.07	-21.17	 0.11	-21.95	 0.09	SLACS	Sloan	Simbad	10 16 22.86	+38 59 03.3
J1020+1122	 0.282	 0.553	282	18	E    	 	     	     	18.12	a	 1.52	17.15	 1.59	     	 5.12	11.54	 0.45	 0.13	 0.81	 0.22	 0.89	11.54	 0.12	11.80	 0.12	-22.24	 0.09	-23.00	 0.07	-21.79	 0.12	-22.60	 0.12	SLACS	Sloan	Simbad	10 20 26.54	+11 22 41.1
J1023+4230	 0.191	 0.696	242	15	E    	 	     	     	17.45	a	 2.07	16.74	 1.77	     	 4.50	11.37	 0.38	 0.11	 0.67	 0.19	 0.85	11.33	 0.12	11.57	 0.12	-21.72	 0.12	-22.46	 0.07	-21.39	 0.11	-22.17	 0.10	SLACS	Sloan	Simbad	10 23 32.26	+42 30 01.8
J1029+0420	 0.104	 0.615	210	 9	S0   	 	     	     	16.69	a	 2.15	16.06	 1.56	     	 1.92	10.78	 0.69	 0.19	 1.23	 0.32	 0.76	11.04	 0.12	11.29	 0.11	-20.87	 0.14	-21.63	 0.08	-20.68	 0.11	-21.47	 0.08	SLACS	Sloan	Simbad	10 29 22.94	+04 20 01.8
J1029+6115	 0.157	 0.251	228	14	E    	 	     	     	16.82	a	 2.75	16.04	 2.52	15.04	     	     	     	     	     	     	     	11.49	 0.08	11.73	 0.08	-21.81	 0.10	-22.61	 0.07	-21.56	 0.10	-22.39	 0.08	SLACS	Sloan	Simbad	10 29 27.53	+61 15 05.3
J1032+5322	 0.133	 0.329	296	14	S    	 	     	     	17.76	a	 1.19	17.01	 0.81	     	 2.44	11.05	 0.42	 0.11	 0.77	 0.20	 1.18	10.90	 0.11	11.16	 0.11	-20.44	 0.13	-21.22	 0.08	-20.21	 0.11	-21.02	 0.09	SLACS	Sloan	Simbad	10 32 35.84	+53 22 34.9
J1100+5329	 0.317	 0.858	187	23	E    	 	19.78	 2.90	18.06	a	 2.96	17.15	 2.20	16.26	 7.02	11.67	 0.33	 0.05	 0.58	 0.09	 0.79	11.59	 0.07	11.84	 0.07	-22.71	 0.06	-23.40	 0.06	-22.22	 0.14	-22.96	 0.13	SLACS	Sloan	Simbad	11 00 24.39	+53 29 13.9
J1103+5322	 0.158	 0.735	196	12	S0/SA	 	     	     	17.14	a	 2.61	16.41	 2.85	15.54	 2.78	10.98	 0.73	 0.13	 1.28	 0.23	 0.71	11.29	 0.08	11.54	 0.08	-21.52	 0.11	-22.28	 0.07	-21.26	 0.11	-22.05	 0.09	SLACS	Sloan	Simbad	11 03 08.21	+53 22 28.2
J1106+5228	 0.095	 0.407	262	 9	E    	 	17.54	 1.79	16.08	a	 2.54	15.50	 1.39	14.81	 2.17	10.96	 0.54	 0.07	 0.95	 0.13	 0.73	11.13	 0.06	11.37	 0.06	-21.27	 0.06	-22.00	 0.05	-21.09	 0.07	-21.84	 0.07	SLACS	Sloan	Simbad	11 06 46.15	+52 28 37.8
J1112+0826	 0.273	 0.629	320	20	E    	 	     	     	17.97	a	 1.83	17.16	 1.32	16.21	 6.19	11.65	 0.33	 0.07	 0.59	 0.11	 0.97	11.48	 0.09	11.73	 0.08	-22.25	 0.10	-22.97	 0.07	-21.77	 0.14	-22.56	 0.13	SLACS	Sloan	Simbad	11 12 50.60	+08 26 10.4
J1134+6027	 0.153	 0.474	239	11	E    	 	     	     	17.14	a	 2.15	16.41	 2.02	     	 2.93	11.10	 0.50	 0.13	 0.89	 0.24	 0.69	11.26	 0.12	11.51	 0.12	-21.44	 0.12	-22.20	 0.07	-21.18	 0.10	-21.97	 0.09	SLACS	Sloan	Simbad	11 34 05.89	+60 27 13.5
J1142+1001	 0.222	 0.504	221	22	E    	 	     	     	17.75	a	 2.11	16.99	 1.24	16.23	 3.52	11.22	 0.39	 0.07	 0.68	 0.13	 0.64	11.30	 0.08	11.55	 0.08	-21.89	 0.11	-22.58	 0.07	-21.50	 0.11	-22.25	 0.10	SLACS	Sloan	Simbad	11 42 57.35	+10 01 11.8
J1143-0144	 0.106	 0.402	269	 5	E    	 	     	     	15.83	b	 5.41	14.92	 2.66	14.40	 3.27	11.29	 0.26	 0.05	 0.46	 0.10	 0.45	11.36	 0.09	11.60	 0.09	-22.16	 0.13	-22.81	 0.07	-21.92	 0.10	-22.61	 0.08	SLACS	Sloan	Simbad	11 43 29.64	-01 44 30.0
J1153+4612	 0.180	 0.875	226	15	E    	 	     	     	17.78	a	 1.43	17.15	 1.16	     	 3.18	11.05	 0.47	 0.13	 0.84	 0.25	 0.87	11.08	 0.13	11.33	 0.13	-21.22	 0.13	-21.93	 0.07	-20.89	 0.11	-21.65	 0.10	SLACS	Sloan	Simbad	11 53 10.79	+46 12 05.3
